"Code","Name","Latitude","Longitude","YEAR","Depth","Reef.Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"1217","Transfer Wrecksite",17.3956,-87.46557,"2018",1.4,NA,30.5,20.28,6.08,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217","Transfer Wrecksite",17.3956,-87.46557,"2018",1.5,NA,NA,NA,NA,NA,57,148,0,0,54,133,0,0,470,447,581,2582,6556,334,520,2916
"1221","West of SAndbore Caye",17.46172,-87.49525,"2018",1.3,NA,21.67,19.43,22.25,10.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1221","West of SAndbore Caye",17.46172,-87.49525,"2018",1.5,NA,NA,NA,NA,NA,402,430,12,23,130,270,0,0,494,454,1038,261,230,2196,2113,2457
"1223","Southwest of Maugre Caye",17.56664,-87.7489,"2018",1,NA,NA,NA,NA,NA,2393,3633,0,0,249,326,498,1574,2443,1735,5583,2201,3358,2273,2344,4474
"1223","Southwest of Maugre Caye",17.56664,-87.7489,"2018",3.1,NA,14.5,9.77,9.5,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1230","North of Caye Caulker Marine Reserve",17.79961,-87.99541,"2018",1.4,NA,NA,NA,NA,NA,1166,613,63,72,97,188,615,1946,993,287,2934,1002,894,1163,1109,2165
"1230","North of Caye Caulker Marine Reserve",17.79961,-87.99541,"2018",1.8,NA,24.33,18.18,13.67,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","North of Hol Chan MR",17.8817,-87.96947,"2018",1.5,NA,10.83,12.19,22.5,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","North of Hol Chan MR",17.8817,-87.96947,"2018",5.8,NA,NA,NA,NA,NA,689,464,129,337,162,257,178,406,180,199,1338,422,327,879,972,1301
"1234","North of Mexico Rocks",18.186,-87.83305,"2018",1.5,NA,14,15.45,13.5,9.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","North of Mexico Rocks",18.186,-87.83305,"2018",5.9,NA,NA,NA,NA,NA,1972,1254,159,371,58,69,55,132,80,51,2324,180,129,92,233,272
"2056","Sianora Dive Site",17.19558,-87.9318,"2018",11.3,NA,NA,NA,NA,NA,450,647,23,73,373,597,0,0,406,533,1252,794,765,1321,1816,2115
"2056","Sianora Dive Site",17.19558,-87.9318,"2018",12.7,NA,9.83,6.43,6,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065","East of Turneffe Flats",17.41428,-87.8094,"2018",3.9,NA,14,6.63,18.17,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065","East of Turneffe Flats",17.41428,-87.8094,"2018",4.7,NA,NA,NA,NA,NA,1001,1063,0,0,13,27,0,0,1025,1160,2039,2888,3532,2098,2163,4986
"2220","West of Jack Barrow Camp",17.54819,-87.821,"2018",1,NA,NA,NA,NA,NA,472,700,9,30,120,236,2453,5705,956,910,4010,269,537,3746,3515,4015
"2220","West of Jack Barrow Camp",17.54819,-87.821,"2018",2.9,NA,32.17,11.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCMR31","BCMR31",18.11352,-87.83405,"2018",14.2,NA,NA,NA,NA,NA,0,0,9,30,0,0,0,0,216,241,225,365,369,607,634,972
"BCMR39","BCMR39",18.09995,-87.85304,"2018",14.5,NA,NA,NA,NA,NA,402,912,35,74,25,61,0,0,145,215,607,445,373,878,1016,1323
"BZ-TAMR-01","WP4-DFR",17.38347,-87.93974,"2021",12.4,NA,NA,NA,NA,NA,112,165,28,56,0,0,0,0,37,58,177,62,80,1193,865,1255
"BZ-TAMR-01","WP4-DFR",17.38347,-87.93974,"2021",12.7,NA,10.17,6.88,11.5,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-02","WP4-BR",17.38659,-87.93578,"2021",0.7,NA,15.33,9.71,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-02","WP4-BR",17.38659,-87.93578,"2021",1.9,NA,NA,NA,NA,NA,33,42,9,27,0,0,0,0,90,111,132,60,92,342,867,402
"BZ-TAMR-03","WP4-SFR",17.38359,-87.93821,"2021",1.9,NA,NA,NA,NA,NA,14,24,30,63,0,0,205,649,78,120,327,244,513,216,448,460
"BZ-TAMR-03","WP4-SFR",17.38359,-87.93821,"2021",2.6,NA,17.67,4.63,2.17,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-04","1206-DFR",17.24799,-87.83336,"2021",12.3,NA,NA,NA,NA,NA,348,495,4,8,0,0,0,0,11,28,363,45,99,569,742,614
"BZ-TAMR-04","1206-DFR",17.24799,-87.83336,"2021",13.1,NA,13.5,8.36,27.58,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-05","1206-BR",17.24913,-87.83865,"2021",0.9,NA,11.5,8.55,9.5,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-05","1206-BR",17.24913,-87.83865,"2021",1.2,NA,NA,NA,NA,NA,3,6,0,0,151,478,0,0,576,1176,730,96,108,590,922,686
"BZ-TAMR-06","1206-SFR",17.2486,-87.83705,"2021",8.6,NA,16.83,10.46,11.58,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-06","1206-SFR",17.2486,-87.83705,"2021",9.5,NA,NA,NA,NA,NA,101,205,2941,9207,3,6,0,0,274,354,3319,204,191,1169,1383,1373
"BZ-TAMR-07","WP5-DFR",17.54654,-87.82282,"2021",10.1,NA,NA,NA,NA,NA,200,296,98,163,2,6,330,1043,52,63,682,68,62,405,485,473
"BZ-TAMR-07","WP5-DFR",17.54654,-87.82282,"2021",10.9,NA,17.17,3.87,19.83,9.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-08","WP5-BR",17.54707,-87.82041,"2021",1.9,NA,19.83,10.46,0.33,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-08","WP5-BR",17.54707,-87.82041,"2021",2,NA,NA,NA,NA,NA,25,50,4,11,19,43,0,0,59,126,107,98,170,257,347,355
"BZ-TAMR-09","WP5-SFR",17.54674,-87.82186,"2021",6.7,NA,NA,NA,NA,NA,93,156,0,0,6,20,117,370,28,55,244,170,252,919,524,1089
"BZ-TAMR-09","WP5-SFR",17.54674,-87.82186,"2021",7.4,NA,8.83,4.96,4.17,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-10","MP-DFR",17.62112,-87.78891,"2021",11.5,NA,NA,NA,NA,NA,60,105,38,66,0,0,0,0,191,245,289,464,686,1458,1224,1922
"BZ-TAMR-10","MP-DFR",17.62112,-87.78891,"2021",12.6,NA,12.17,3.06,25.5,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-11","MP-SFR",17.62051,-87.78842,"2021",7,NA,NA,NA,NA,NA,212,450,102,224,6,20,0,0,235,247,555,292,222,2377,1455,2669
"BZ-TAMR-11","MP-SFR",17.62051,-87.78842,"2021",7.1,NA,21.33,6.74,21,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-12","CZ2-DFR",17.51001,-87.74921,"2021",15,NA,NA,NA,NA,NA,217,687,528,1035,26,47,0,0,30,40,801,266,266,1132,1293,1398
"BZ-TAMR-12","CZ2-DFR",17.51001,-87.74921,"2021",16.2,NA,8.83,2.64,23.58,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-13","1062-DFR",17.2603,-87.96102,"2021",12.2,NA,NA,NA,NA,NA,424,814,318,503,109,221,0,0,140,144,991,678,768,437,367,1115
"BZ-TAMR-13","1062-DFR",17.2603,-87.96102,"2021",13.5,NA,10.83,2.48,3.5,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-14","1062-SFR",17.25871,-87.95925,"2021",5,NA,NA,NA,NA,NA,179,409,36,68,51,169,0,0,154,343,420,757,1138,649,759,1406
"BZ-TAMR-14","1062-SFR",17.25871,-87.95925,"2021",6,NA,9.33,2.5,0.5,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-15","1062-BR",17.25613,-87.95623,"2021",2.6,NA,NA,NA,NA,NA,606,1049,19,40,726,2294,0,0,436,796,1787,161,115,961,1434,1122
"BZ-TAMR-15","1062-BR",17.25613,-87.95623,"2021",4,NA,10.83,3.49,0.33,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-16","CB-SFR",17.15698,-87.90921,"2021",5.9,NA,NA,NA,NA,NA,9,28,675,1965,140,357,0,0,167,378,991,768,501,1177,1785,1945
"BZ-TAMR-16","CB-SFR",17.15698,-87.90921,"2021",6.5,NA,18.67,6.89,5.92,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-17","CB-BR",17.15853,-87.91022,"2021",3,NA,NA,NA,NA,NA,795,1897,216,332,151,412,703,2223,9691,24321,11556,804,1608,1574,2215,2378
"BZ-TAMR-17","CB-BR",17.15853,-87.91022,"2021",3.8,NA,27,9.21,8.17,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ-TAMR-18","SP-DFR",17.33406,-87.78709,"2021",9.2,NA,NA,NA,NA,NA,221,506,0,0,2,6,0,0,122,218,345,706,1710,736,1011,1442
"BZ-TAMR-18","SP-DFR",17.33406,-87.78709,"2021",10.2,NA,20.33,5.39,33.33,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,"2018",3,NA,NA,NA,NA,NA,997,1097,74,139,19,43,0,0,609,1065,1699,110,156,2646,2485,2756
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,"2018",3.6,NA,27,16.44,16.42,12.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,"2021",2.3,NA,NA,NA,NA,NA,242,313,7,11,0,0,0,0,204,181,453,12,10,1215,792,1227
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,"2021",2.4,NA,28.83,3.71,19,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1019","White Reef",16.1041,-88.3299,"2023",NA,"Barrier",43.833333,11.156712,5.166667,4.561311,396.80979312307,469.99270620023,272.81143656941,199.60051587215,552.55504513696,390.715419395183,0,0,315.28818592714,343.24668208124,1537.46446075658,4150.5065747944,11794.783898661,5758.8515438715,5708.7195620054,9909.3581186659
"BZ1026","Coral Forest",16.1791,-88.34,"2023",NA,"Barrier",38,9.780934,0.666667,0.745356,339.62634910289,477.11488533828,133.49814790712,174.37022451384,564.32772233776,399.039959276589,0,0,284.68203850149,468.16707060272,1322.13425784926,1756.2702142186,4057.8186830095,5630.5469927845,4106.7237251193,7386.8172070031
"BZ1032","Round Caye",16.4185,-88.0413,"2021",6.4,NA,NA,NA,NA,NA,0,0,9,30,0,0,0,0,0,0,9,246,150,319,372,565
"BZ1032","Round Caye",16.4185,-88.0413,"2021",6.6,NA,11.17,0.75,36.33,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1037","Carrie Caye",16.5175,-88.1935,"2023",NA,"Lagoonal",12.833333,9.736814,6.5,3.354102,191.67893607934,229.2726468788,38.530398827206,115.59119648162,248.74512768157,175.889366570752,0,0,1013.6863472596,1596.0985856488,1492.64080984772,129.70386058847,229.46979718903,3001.6704780822,2573.5126837986,3131.37433867067
"BZ1037B","Carrie Caye",16.51861,-88.19308,"2021",5.8,NA,NA,NA,NA,NA,17,37,0,0,21,45,0,0,114,260,152,1,3,1051,1046,1052
"BZ1037B","Carrie Caye",16.51861,-88.19308,"2021",6.5,NA,2.17,3.25,7.92,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1041","Gladden Caye",16.558,-88.0507,"2018",2.5,NA,NA,NA,NA,NA,60,174,0,0,91,265,0,0,37,68,188,20,27,669,1037,689
"BZ1041","Gladden Caye",16.558,-88.0507,"2018",5.4,NA,13.17,8.61,8.5,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1041","Gladden Caye",16.558,-88.0507,"2023",NA,"Barrier",14.833333,11.653564,3.833333,3.804237,1083.9684686449,1042.9418977882,0,0,352.43983861041,249.212599841713,0,0,686.07330982929,928.05582558124,2122.4816170846,1983.7944868206,3831.6805470785,1869.9484023178,3167.9317269766,3853.7428891384
"BZ1041.","Gladden Caye",16.558,-88.0507,"2021",3.4,NA,15.17,5.6,13.25,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1041.","Gladden Caye",16.558,-88.0507,"2021",3.7,NA,NA,NA,NA,NA,44,108,9,30,0,0,0,0,23,50,76,392,1055,1981,3174,2373
"BZ1043","South Water Caye",16.6302,-88.2061,"2023",NA,"Lagoonal",17,13.928388,7.333333,9.994443,1294.1353877424,865.97178634972,63.726121285975,144.16555908964,60.948570982427,43.0971478453038,0,0,1468.9026492981,1223.6706780497,2887.7127293089,0,0,1756.522205176,3786.8641422991,1756.522205176
"BZ1045","Glover’s Reef Southwest",16.72,-87.8387,"2023",NA,"Atoll",27.333333,9.893881,9.75,7.163274,220.06004083335,172.43186705268,183.38516220863,320.53293442317,173.37486424877,122.594542197602,0,0,1211.7247963595,1366.6627701004,1788.54486365025,767.23890145349,536.46427691823,2788.1209623471,2119.9539559111,3555.35986380059
"BZ1045","Glovers Reef Southwest",16.72,-87.8387,"2021",6.2,NA,NA,NA,NA,NA,203,310,114,357,1,3,0,0,28,51,346,121,161,319,471,440
"BZ1045","Glovers Reef Southwest",16.72,-87.8387,"2021",7.5,NA,28.17,13.23,17.17,11.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1047","Glover’s Reef",16.7705,-87.8716,"2023",NA,"Atoll",27.666667,7.824463,2.916667,3.167763,576.42723529082,1032.0782972156,493.26379309985,886.75712103732,11.015361035213,7.78903648521718,0,0,805.94385712718,1303.650784641,1886.65024655306,292.05701096259,237.04736574281,8096.9445123495,5143.3060478528,8389.00152331209
"BZ1049","Glovers Reef",16.7841,-87.75241,"2021",4.6,NA,NA,NA,NA,NA,864,899,49,155,27,80,0,0,133,172,1073,308,263,1176,2338,1484
"BZ1049","Glovers Reef",16.7841,-87.75241,"2021",6.1,NA,27.83,18.84,19.83,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1049","Glovers Reef, Glovers Reef",16.7841,-87.7524,"2023",NA,"Atoll",31.666667,14.476034,30.416667,15.155903,409.39069555372,599.10309781671,46.928972980129,115.53764888939,0,0,0,0,293.95349267913,400.95324140673,750.273161212979,583.28743940775,557.05321148929,1980.9470274634,2489.8702863959,2564.23446687115
"BZ1050","Glover's Northeast",16.88532,-87.70304,"2018",9.9,NA,NA,NA,NA,NA,0,0,71,226,0,0,0,0,29,40,100,82,110,876,1028,958
"BZ1050","Glover's Northeast",16.88532,-87.70304,"2018",10,NA,32.17,6.62,10.67,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
